Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review,Additional Authors,Ratings Count,Shelf,Genre,Format,Series / Section,Volume,Pages,Awards,Notes
The Forever War,"Haldeman, Joe",,,4.14,St. Martin's,,1974,,,,,fiction science-fiction war,,,181000,fiction,Science Fiction; War,Series volume,The Forever War,1,278,"Hugo, Best Novel (1976); Nebula, Best Novel (1975); Locus, Best SF Novel (1976)",The 1997 'definitive edition' restores the original middle section that was cut from the first printing.
Red Harvest,"Hammett, Dashiell",,,,Vintage,Paperback,1929,,,,,fiction mystery-and-crime classics,,,,fiction,Mystery & Crime; Classics,Standalone,,,199,,
The Maltese Falcon,"Hammett, Dashiell",,,,Vintage,Paperback,1930,,,,,fiction mystery-and-crime classics,,,,fiction,Mystery & Crime; Classics,Standalone,,,217,,
West of Eden,"Harrison, Harry",,,,Bantam,Paperback,1984,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,Eden,1,496,,
Winter in Eden,"Harrison, Harry",,,,Bantam,Paperback,1986,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,Eden,2,400,,
Return to Eden,"Harrison, Harry",,,,Bantam,Paperback,1988,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,Eden,3,384,,
Fatherland,"Harris, Robert",,,,Random House,Paperback,1992,,,,,fiction thriller historical-fiction mystery-and-crime,,,,fiction,Thriller; Historical Fiction; Mystery & Crime,Standalone,,,372,,
Red Dragon,"Harris, Thomas",,,,Berkley,Paperback,1981,,,,,fiction thriller mystery-and-crime horror,,,,fiction,Thriller; Mystery & Crime; Horror,Series volume,Hannibal Lecter,1,348,,
The Silence of the Lambs,"Harris, Thomas",,,,St. Martin's,Paperback,1988,,,,,fiction thriller mystery-and-crime horror,,,,fiction,Thriller; Mystery & Crime; Horror,Series volume,Hannibal Lecter,2,338,"Bram Stoker Award, Best Novel (1988)",
Starship Troopers,"Heinlein, Robert A.",,,,Ace,Paperback,1959,,,,,fiction science-fiction war,,,,fiction,Science Fiction; War,Standalone,,,263,"Hugo, Best Novel (1960)",
Stranger in a Strange Land,"Heinlein, Robert A.",,,3.92,Ace / Putnam,,1961,,,,,fiction science-fiction,,,330000,fiction,Science Fiction,Standalone,,,525,"Hugo, Best Novel (1962)",Two materially different texts: the 1961 published version (~408 pp) and the 1991 uncut original manuscript (~525 pp). The uncut edition is now standard in print.
The Moon Is a Harsh Mistress,"Heinlein, Robert A.",,,,Orb / Tor,Paperback,1966,,,,,fiction science-fiction,,,,fiction,Science Fiction,Standalone,,,382,"Hugo, Best Novel (1967); Prometheus Hall of Fame (1983)",
Children of Dune,"Herbert, Frank",,,3.95,Ace,Paperback,1976,,,,,fiction science-fiction,,,265000,fiction,Science Fiction,Series volume,Dune,3,444,,
Dune,"Herbert, Frank",,,4.29,Ace,Paperback,1965,,,,,fiction science-fiction,,,1640000,fiction,Science Fiction,Series volume,Dune,1,604,"Nebula, Best Novel (1965) — the first ever awarded; Hugo, Best Novel (1966, shared)",The Chilton first edition runs 412 pp on larger pages; the Ace paperback is the commonly cited 604 (or 688 in later printings).
Dune Messiah,"Herbert, Frank",,,3.9,Ace,Paperback,1969,,,,,fiction science-fiction,,,433000,fiction,Science Fiction,Series volume,Dune,2,256,,
Assassin's Apprentice,"Hobb, Robin",,,4.19,Bantam Spectra,Paperback,1995,,,,,fiction fantasy adventure,,,407000,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Farseer Trilogy,1,435,,
Royal Assassin,"Hobb, Robin",,,,Bantam Spectra,Paperback,1996,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Farseer Trilogy,2,675,,
Assassin's Quest,"Hobb, Robin",,,,Bantam Spectra,Paperback,1997,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Farseer Trilogy,3,757,,
Ship of Magic,"Hobb, Robin",,,,Bantam Spectra,Paperback,1998,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Liveship Traders,1,880,,
Mad Ship,"Hobb, Robin",,,,Bantam Spectra,Paperback,1999,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Liveship Traders,2,906,,
Ship of Destiny,"Hobb, Robin",,,,Bantam Spectra,Paperback,2000,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Realm of the Elderlings › The Liveship Traders,3,912,,
Tawny Man Trilogy,"Hobb, Robin",,,,Voyager / Bantam,ebook,,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Omnibus file,Realm of the Elderlings › The Tawny Man,1–3,2238,,Third Realm of the Elderlings sub-series. No single-volume print edition; components are Bantam Spectra paperbacks.
The Coming of Conan the Cimmerian,"Howard, Robert E.",,,,Del Rey,Paperback,2003,,,,,fiction fantasy short-stories adventure,,,,fiction,Fantasy; Short Stories; Adventure,Story collection,Conan (Del Rey definitive),1,496,,The Del Rey series restores Howard's original unedited texts and is the scholarly standard.
The Bloody Crown of Conan,"Howard, Robert E.",,,,Del Rey,Paperback,2004,,,,,fiction fantasy short-stories adventure,,,,fiction,Fantasy; Short Stories; Adventure,Story collection,Conan (Del Rey definitive),2,368,,
The Conquering Sword of Conan,"Howard, Robert E.",,,,Del Rey,Paperback,2005,,,,,fiction fantasy short-stories adventure,,,,fiction,Fantasy; Short Stories; Adventure,Story collection,Conan (Del Rey definitive),3,400,,
Kull: Exile of Atlantis,"Howard, Robert E.",,,,Del Rey,Paperback,2006,,,,,fiction fantasy short-stories,,,,fiction,Fantasy; Short Stories,Story collection,Kull,—,336,,
Les Misérables,"Hugo, Victor",,,,Penguin,,1862,,,,,fiction classics historical-fiction literary-fiction,,,,fiction,Classics; Historical Fiction; Literary Fiction,Standalone,,,1232,,"Unabridged translations run 1,200–1,500 pp. The Julie Rose (Modern Library) translation runs about 1,344."
Brave New World,"Huxley, Aldous",,,3.98,Harper,,1932,,,,,fiction science-fiction dystopian classics,,,2148000,fiction,Science Fiction; Dystopian; Classics,Standalone,,,288,,
Klara and the Sun,"Ishiguro, Kazuo",,,,Knopf,Hardcover,2021,,,,,fiction science-fiction literary-fiction,,,,fiction,Science Fiction; Literary Fiction,Standalone,,,303,Author: Nobel Prize in Literature (2017),
A Cavern of Black Ice,"Jones, J. V.",,,,Tor,Paperback,1999,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Sword of Shadows,1,848,,
A Fortress of Grey Ice,"Jones, J. V.",,,,Tor,Paperback,2002,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Sword of Shadows,2,672,,
A Sword from Red Ice,"Jones, J. V.",,,,Tor,Paperback,2007,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Sword of Shadows,3,720,,
Watcher of the Dead,"Jones, J. V.",,,,Orbit,Paperback,2010,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Sword of Shadows,4,528,,
The Book of Words,"Jones, J. V.",,,,Orbit / Warner,ebook,,,,,,fiction fantasy,,,,fiction,Fantasy,Omnibus file,The Book of Words,1–3,1536,,"A trilogy compilation, not a single novel. Components are Warner Aspect paperbacks."
The Buffalo Hunter Hunter,"Jones, Stephen Graham",,,,Saga Press,Hardcover,2025,,,,,fiction horror literary-fiction,,,,fiction,Horror; Literary Fiction,Standalone,,,448,,Recent release; page count from the first-edition listing and may be revised in reprint.
The Complete Wheel of Time,"Jordan, Robert",,,,Tor,ebook,2012,,,,,fiction fantasy adventure,,"Sanderson, Brandon",,fiction,Fantasy; Adventure,Omnibus file,The Wheel of Time,1–14,11216,,The fourteen main novels. The Tor digital bundle sold as 'The Complete Wheel of Time' contains the fourteen main books; the prequel New Spring (334 pp) is sold separately and its inclusion in this particular file cannot be confirmed from the filename. The Eye of the World also appears separately in this library.
The Eye of the World,"Jordan, Robert",,,4.19,Tor,Paperback,1990,,,,,fiction fantasy adventure,,,605000,fiction,Fantasy; Adventure,Series volume,The Wheel of Time,1,782,,Duplicate: this novel is also the first component of The Complete Wheel of Time in this library. Counted once in the library total.
Return of the Jedi,"Kahn, James",,,,Del Rey,Paperback,1983,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars film novelisations,3,181,,
One Flew Over the Cuckoo's Nest,"Kesey, Ken",,,,Penguin,,1962,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,325,,
The Girl Next Door,"Ketchum, Jack",,,,Leisure Books,Paperback,1989,,,,,fiction horror,,,,fiction,Horror,Standalone,,,336,,
Flowers for Algernon,"Keyes, Daniel",,,4.25,Harcourt,Paperback,1966,,,,,fiction science-fiction literary-fiction,,,839000,fiction,Science Fiction; Literary Fiction,Standalone,,,311,"Nebula, Best Novel (1966); Hugo, Best Short Story (1960) — for the original novelette",The novel expands the 1959 short story of the same name.
11/22/63,"King, Stephen",,,,Scribner,Hardcover,2011,,,,,fiction science-fiction thriller historical-fiction,,,,fiction,Science Fiction; Thriller; Historical Fiction,Standalone,,,849,"Los Angeles Times Book Prize, Mystery/Thriller (2011)",
The Gunslinger,"King, Stephen",,,,Viking / Scribner,,1982,,,,,fiction fantasy western horror,,,,fiction,Fantasy; Western; Horror,Series volume,The Dark Tower,1,231,,"Two materially different texts: the 1982 original and King's 2003 revision, which is now the standard."
The Shining,"King, Stephen",,,,Anchor,Paperback,1977,,,,,fiction horror,,,,fiction,Horror,Standalone,,,447,,
The Stand,"King, Stephen",,,,Doubleday,,1978,,,,,fiction horror science-fiction dystopian,,,,fiction,Horror; Science Fiction; Dystopian,Standalone,,,1153,,"Two materially different texts: the 1978 original (~823 pp) and the 1990 Complete & Uncut edition (~1,153 pp), which restores roughly 400 pages and shifts the timeline forward a decade."
Conagher,"L'Amour, Louis",,,,Bantam,Paperback,1969,,,,,fiction western,,,,fiction,Western,Standalone,,,208,,
Flint,"L'Amour, Louis",,,,Bantam,Paperback,1960,,,,,fiction western,,,,fiction,Western,Standalone,,,192,,
Hondo,"L'Amour, Louis",,,,Bantam,Paperback,1953,,,,,fiction western,,,,fiction,Western,Standalone,,,179,,
Last of the Breed,"L'Amour, Louis",,,,Bantam,Paperback,1986,,,,,fiction adventure thriller,,,,fiction,Adventure; Thriller,Standalone,,,358,,
The Lonesome Gods,"L'Amour, Louis",,,,Bantam,Paperback,1983,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Standalone,,,448,,
The Sacketts 01-17 Collection,"L'Amour, Louis",,,,Bantam,ebook,,,,,,fiction western,,,,fiction,Western,Omnibus file,The Sacketts,1–17,3054,,"Confirmed: seventeen canonical Sackett novels, listed here in the standard internal chronology. (The Man from the Broken Hills is sometimes counted as an eighteenth, but it is properly a Talon & Chantry crossover.) Component counts are Bantam mass-market paperbacks and vary by a few pages between printings."
The Walking Drum,"L'Amour, Louis",,,,Bantam,Paperback,1984,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Standalone,,,448,,
The Fisherman,"Langan, John",,,,Word Horde,Paperback,2016,,,,,fiction horror literary-fiction,,,,fiction,Horror; Literary Fiction,Standalone,,,266,"Bram Stoker Award, Best Novel (2016)",
The Spy Who Came in from the Cold,"le Carré, John",,,,Penguin,,1963,,,,,fiction thriller classics,,,,fiction,Thriller; Classics,Series volume,George Smiley,3,224,"CWA Gold Dagger (1963); Somerset Maugham Award (1964); Edgar Award, Best Novel (1965)",
Jade City,"Lee, Fonda",,,,Orbit,Paperback,2017,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Green Bone Saga,1,512,"Aurora Award, Best Novel (2018)",
Jade War,"Lee, Fonda",,,,Orbit,Paperback,2019,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Green Bone Saga,2,592,,
Jade Legacy,"Lee, Fonda",,,,Orbit,Paperback,2021,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Green Bone Saga,3,720,,
To Kill a Mockingbird,"Lee, Harper",,,,Harper,,1960,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,281,Pulitzer Prize for Fiction (1961),
"The Call of the Wild, White Fang, and Other Stories","London, Jack",A,,,,,,,,,,fiction adventure classics,,,,fiction,Adventure; Classics,Story collection,,,400,,"A collection of two short novels plus short fiction. The two novels are separable works: The Call of the Wild (~172 pp) and White Fang (~298 pp). Counted as one entry, since the exact story selection varies by edition."
The Sea-Wolf,"London, Jack",,,,Penguin,,1904,,,,,fiction adventure classics,,,,fiction,Adventure; Classics,Standalone,,,366,,
At the Mountains of Madness,"Lovecraft, H. P.",,,,,,1936,,,,,fiction horror science-fiction,,,,fiction,Horror; Science Fiction,Standalone,,,208,,Novella. Standalone printings pad the count with supporting stories; the text itself is around 100 pp.
Star Wars: A New Hope,"Lucas, George",,,,Del Rey,Paperback,1976,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars film novelisations,1,220,,Credited to Lucas but ghostwritten by Alan Dean Foster.
The Unifying Force,"Luceno, James",,,,Del Rey,Paperback,2003,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The New Jedi Order,5,592,,Filename numbers it 5; it is the nineteenth and final New Jedi Order novel.
Necroscope,"Lumley, Brian",,,,Tor,Paperback,1986,,,,,fiction horror science-fiction,,,,fiction,Horror; Science Fiction,Series volume,Necroscope,1,511,,
Vamphyri!,"Lumley, Brian",,,,Tor,Paperback,1988,,,,,fiction horror science-fiction,,,,fiction,Horror; Science Fiction,Series volume,Necroscope,2,480,,
The Source,"Lumley, Brian",,,,Tor,Paperback,1989,,,,,fiction horror science-fiction,,,,fiction,Horror; Science Fiction,Series volume,Necroscope,3,508,,
The Lies of Locke Lamora,"Lynch, Scott",,,4.3,Bantam Spectra,Paperback,2006,,,,,fiction fantasy adventure,,,346000,fiction,Fantasy; Adventure,Series volume,Gentleman Bastard,1,499,,
The Bridge,"Mano, D. Keith",,,,Doubleday,Hardcover,1973,,,,,fiction science-fiction dystopian satire,,,,fiction,Science Fiction; Dystopian; Satire,Standalone,,,244,,
A Song of Ice and Fire,"Martin, George R. R.",,,,Bantam Spectra,ebook,,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Omnibus file,A Song of Ice and Fire,1–5,4197,"Locus, Best Fantasy Novel (2001); Locus, Best Fantasy Novel (2012)","Five published novels. Bantam digital bundles exist for books 1–4 and 1–5; no single-volume print edition. Note that A Feast for Crows and A Dance with Dragons cover the same span of time with different casts. UK paperbacks split several volumes in two, so component counts differ sharply between markets."
Boy's Life,"McCammon, Robert R.",,,,Pocket Books,Paperback,1991,,,,,fiction literary-fiction adventure,,,,fiction,Literary Fiction; Adventure,Standalone,,,592,"Bram Stoker Award, Best Novel (1991); World Fantasy Award, Best Novel (1992)",
Swan Song,"McCammon, Robert R.",,,,Pocket Books,Paperback,1987,,,,,fiction horror dystopian science-fiction,,,,fiction,Horror; Dystopian; Science Fiction,Standalone,,,956,"Bram Stoker Award, Best Novel (1987, tied)",
Blood Meridian,"McCarthy, Cormac",,,,Vintage,,1985,,,,,fiction western literary-fiction historical-fiction,,,,fiction,Western; Literary Fiction; Historical Fiction,Standalone,,,337,,
The Road,"McCarthy, Cormac",,,,Vintage,,2006,,,,,fiction dystopian literary-fiction science-fiction,,,,fiction,Dystopian; Literary Fiction; Science Fiction,Standalone,,,287,Pulitzer Prize for Fiction (2007); James Tait Black Memorial Prize (2006),
Masters of Rome 1–5,"McCullough, Colleen",,,,Head of Zeus / William Morrow,ebook,,,,,,fiction historical-fiction,,,,fiction,Historical Fiction,Omnibus file,Masters of Rome,1–5,4102,,First five volumes of the seven-book sequence. Books 6 and 7 are held separately in this library. Component counts are UK paperbacks.
The October Horse,"McCullough, Colleen",,,,Arrow,Paperback,2002,,,,,fiction historical-fiction,,,,fiction,Historical Fiction,Series volume,Masters of Rome,6,792,,
Antony and Cleopatra,"McCullough, Colleen",,,,Simon & Schuster,Paperback,2007,,,,,fiction historical-fiction,,,,fiction,Historical Fiction,Series volume,Masters of Rome,7,576,,
Blackwater,"McDowell, Michael",,,,Valancourt Books,,1983,,,,,fiction horror,,,,fiction,Horror,Omnibus file,Blackwater,1–6,800,,Originally published as six mass-market paperbacks over six months in 1983. Valancourt's one-volume Complete Saga collects all six at about 800 pp. Individual volumes ran roughly 176 pp each in the Avon originals.
Lonesome Dove,"McMurtry, Larry",,,,Simon & Schuster,Paperback,1985,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Series volume,Lonesome Dove,1,945,Pulitzer Prize for Fiction (1986),"The file numbers this sequence 1–4 in publication order. By internal chronology the order is Dead Man's Walk, Comanche Moon, Lonesome Dove, Streets of Laredo."
Streets of Laredo,"McMurtry, Larry",,,,Simon & Schuster,Paperback,1993,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Series volume,Lonesome Dove,2,597,,
Dead Man's Walk,"McMurtry, Larry",,,,Simon & Schuster,Paperback,1995,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Series volume,Lonesome Dove,3,477,,
Comanche Moon,"McMurtry, Larry",,,,Simon & Schuster,Paperback,1997,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Series volume,Lonesome Dove,4,752,,
Perdido Street Station,"Miéville, China",,,,Del Rey,Paperback,2000,,,,,fiction fantasy science-fiction,,,,fiction,Fantasy; Science Fiction,Series volume,Bas-Lag,1,710,"Arthur C. Clarke Award (2001); British Fantasy Award, Best Novel (2001)",
Kenobi,"Miller, John Jackson",,,,Del Rey,Hardcover,2013,,,,,fiction science-fiction western adventure,,,,fiction,Science Fiction; Western; Adventure,Standalone,Star Wars Legends,—,400,,
A Canticle for Leibowitz,"Miller, Walter M., Jr.",,,3.99,Bantam Spectra,Paperback,1959,,,,,fiction science-fiction classics,,,123000,fiction,Science Fiction; Classics,Series volume,St. Leibowitz,1,320,"Hugo, Best Novel (1961)",
Winnie-the-Pooh,"Milne, A. A.",,,,Dutton,Hardcover,1926,,,,,fiction children-s classics,,,,fiction,Children's; Classics,Series volume,Winnie-the-Pooh,1,160,,The file lists the author as 'A. Alan Milne'; he published as A. A. Milne.
Paradise Lost,"Milton, John",,,,Penguin,,1667,,,,,fiction classics,,,,fiction,Classics,Standalone,,,453,,Epic poem. Page count depends heavily on whether the edition prints notes and the 1674 twelve-book revision.
Gone with the Wind,"Mitchell, Margaret",,,,Scribner,Paperback,1936,,,,,fiction historical-fiction classics romance,,,,fiction,Historical Fiction; Classics; Romance,Standalone,,,1037,Pulitzer Prize for Fiction (1937); National Book Award (1936),
Elric of Melniboné,"Moorcock, Michael",,,,DAW,Paperback,1972,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,1,181,,
The Fortress of the Pearl,"Moorcock, Michael",,,,Ace,Paperback,1989,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,2,244,,"Written seventeen years after the early Elric books but slotted second by internal chronology, which is the ordering this library uses."
The Sailor on the Seas of Fate,"Moorcock, Michael",,,,DAW,Paperback,1976,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,3,181,,
The Weird of the White Wolf,"Moorcock, Michael",,,,DAW,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,4,218,,
The Vanishing Tower,"Moorcock, Michael",,,,DAW,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,5,190,,
The Revenge of the Rose,"Moorcock, Michael",,,,Ace,Paperback,1991,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,6,245,,
The Bane of the Black Sword,"Moorcock, Michael",,,,DAW,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,7,190,,
Stormbringer,"Moorcock, Michael",,,,DAW,Paperback,1965,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Elric of Melniboné,8,222,,
Altered Carbon,"Morgan, Richard K.",,,,Del Rey,Paperback,2002,,,,,fiction science-fiction mystery-and-crime thriller,,,,fiction,Science Fiction; Mystery & Crime; Thriller,Series volume,Takeshi Kovacs,1,375,Philip K. Dick Award (2003),
1Q84,"Murakami, Haruki",,,,Knopf,,2009,,,,,fiction literary-fiction fantasy,,,,fiction,Literary Fiction; Fantasy,Standalone,,,925,,Published in Japan as three volumes; the English edition collects all three in one.
Lolita,"Nabokov, Vladimir",,,,Vintage,,1955,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,336,,
1 Enoch: The Hermeneia Translation,"Nickelsburg, George W. E.",,,,Fortress Press,,2012,,,,,fiction,,"VanderKam, James C.",,fiction,,Standalone,,,170,,"A scholarly translation of an ancient apocryphal text — non-fiction reference, filed here in a fiction folder. Excluded from the fiction totals."
The Mote in God's Eye,"Niven, Larry",,,,Pocket Books,Paperback,1974,,,,,fiction science-fiction,,"Pournelle, Jerry",,fiction,Science Fiction,Series volume,Moties,1,596,,
Master and Commander,"O'Brian, Patrick",,,,W. W. Norton,Paperback,1969,,,,,fiction historical-fiction adventure war,,,,fiction,Historical Fiction; Adventure; War,Series volume,Aubrey–Maturin,1,412,,
Nineteen Eighty-Four,"Orwell, George",,,4.2,,,1949,,,,,fiction science-fiction dystopian classics,,,5723000,fiction,Science Fiction; Dystopian; Classics,Standalone,,,328,Prometheus Hall of Fame (1984),
Animal Farm,"Orwell, George",,,,Signet,Paperback,1945,,,,,fiction satire classics dystopian,,,,fiction,Satire; Classics; Dystopian,Standalone,,,112,Prometheus Hall of Fame (2011),
Heroic Fantasy,"Page, Gerald W.",,,,DAW,Paperback,1979,,,,,fiction fantasy short-stories,,"Reinhardt, Hank (eds.)",,fiction,Fantasy; Short Stories,Anthology,,,220,,Original sword-and-sorcery anthology. Counted as one work.
The Gormenghast Trilogy,"Peake, Mervyn",,,,Vintage / Overlook,,,,,,,fiction fantasy literary-fiction,,,,fiction,Fantasy; Literary Fiction,Omnibus file,Gormenghast,1–3,1024,,Titus Alone is a substantially different book from the first two and was published from an incomplete manuscript; the 1970 Langdon Jones restored text is now standard. Some editions add the fragment 'Boy in Darkness'.
Todo Alatriste,"Pérez-Reverte, Arturo",,,,Alfaguara,,2016,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Omnibus file,Las aventuras del capitán Alatriste,1–7,1256,,"Spanish-language omnibus collecting the seven Alatriste novels published to that date. An eighth, Misión en París, appeared later and is not in this volume."
Shadows of the Empire,"Perry, Steve",,,,Bantam Spectra,Paperback,1996,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Standalone,Star Wars Legends,—,352,,
The Drawing of the Dark,"Powers, Tim",,,,Del Rey,Paperback,1979,,,,,fiction fantasy historical-fiction,,,,fiction,Fantasy; Historical Fiction,Standalone,,,320,,
Reaper Man,"Pratchett, Terry",,,,Corgi,Paperback,1991,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,11,287,,
Small Gods,"Pratchett, Terry",,,,Corgi,Paperback,1992,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,13,400,,
Soul Music,"Pratchett, Terry",,,,Corgi,Paperback,1994,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,16,378,,
The Colour of Magic,"Pratchett, Terry",,,,Corgi,Paperback,1983,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,1,288,,
Hogfather,"Pratchett, Terry",,,,Corgi,Paperback,1996,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,20,384,,
Thief of Time,"Pratchett, Terry",,,,Corgi,Paperback,2001,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,26,384,,
Night Watch,"Pratchett, Terry",,,,Corgi,Paperback,2002,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,29,480,,
The Light Fantastic,"Pratchett, Terry",,,,Corgi,Paperback,1986,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,2,288,,
Going Postal,"Pratchett, Terry",,,,Corgi,Paperback,2004,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,33,480,,
Mort,"Pratchett, Terry",,,,Corgi,Paperback,1987,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,4,272,,
Guards! Guards!,"Pratchett, Terry",,,,Corgi,Paperback,1989,,,,,fiction fantasy satire,,,,fiction,Fantasy; Satire,Series volume,Discworld,8,416,,
Inverted World,"Priest, Christopher",,,,New York Review Books,,1974,,,,,fiction science-fiction,,,,fiction,Science Fiction,Standalone,,,320,"BSFA Award, Best Novel (1974)",
The Revenant,"Punke, Michael",,,,Picador,Paperback,2002,,,,,fiction historical-fiction adventure western,,,,fiction,Historical Fiction; Adventure; Western,Standalone,,,272,,
The Godfather,"Puzo, Mario",,,,NAL,,1969,,,,,fiction mystery-and-crime thriller,,,,fiction,Mystery & Crime; Thriller,Standalone,,,448,,
The Merry Adventures of Robin Hood,"Pyle, Howard",,,,,,1883,,,,,fiction adventure classics children-s,,,,fiction,Adventure; Classics; Children's,Standalone,,,296,,
There Is No Antimemetics Division,qntm,,,,,,2021,,,,,fiction science-fiction horror,,,,fiction,Science Fiction; Horror,Standalone,,,244,,"Originally self-published from SCP Foundation material; a revised trade edition (Vintage, ~336 pp) appeared in 2025, so the count depends on which text the file holds."
Atlas Shrugged,"Rand, Ayn",,,,Signet,Paperback,1957,,,,,fiction literary-fiction dystopian,,,,fiction,Literary Fiction; Dystopian,Standalone,,,1168,Prometheus Hall of Fame (1983),
Dragon Prince,"Rawn, Melanie",,,,DAW,Paperback,1988,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Dragon Prince,1,576,,
The Star Scroll,"Rawn, Melanie",,,,DAW,Paperback,1989,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Dragon Prince,2,592,,
Sunrunner's Fire,"Rawn, Melanie",,,,DAW,Paperback,1990,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Dragon Prince,3,592,,
Interview with the Vampire,"Rice, Anne",,,,Ballantine,Paperback,1976,,,,,fiction horror fantasy,,,,fiction,Horror; Fantasy,Series volume,The Vampire Chronicles,1,342,,
Mars Trilogy,"Robinson, Kim Stanley",,,,Bantam Spectra,ebook,,,,,,fiction science-fiction,,,,fiction,Science Fiction,Omnibus file,Mars Trilogy,1–3,1868,"BSFA Award, Best Novel (1992); Hugo, Best Novel (1994); Hugo, Best Novel (1997); Locus, Best SF Novel (1994); Locus, Best SF Novel (1997); Nebula, Best Novel (1993)",UK (HarperCollins Voyager) and US (Bantam) editions differ by 50–100 pp per volume. Components below are Bantam Spectra paperbacks.
Empire of Silence,"Ruocchio, Christopher",,,,DAW,Paperback,2018,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,Sun Eater,1,776,,
Wasp,"Russell, Eric Frank",,,,Gollancz,,1957,,,,,fiction science-fiction satire,,,,fiction,Science Fiction; Satire,Standalone,,,176,,
The Catcher in the Rye,"Salinger, J. D.",,,,"Little, Brown",Paperback,1951,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,214,,
Vector Prime,"Salvatore, R. A.",,,,Del Rey,Paperback,1999,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The New Jedi Order,1,384,,
